0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
16.674574,16.592724,16.59274,16.592752,16.592731,16.59276,16.592712,16.59271,16.592634,16.592745,16.59267,16.59269,16.592731,16.59276,16.592722,16.592724,16.592665,16.592672,16.59274,16.59267,16.59255,16.592474,16.59266,16.592434,16.592665,16.592632,16.592682,16.59233,16.592037,10.100056
16.592724,18.010574,18.010517,18.010532,18.010511,18.010538,18.010492,18.01049,18.010414,18.010525,18.010448,18.01047,18.010511,18.010538,18.010502,18.010504,18.010445,18.010452,18.010517,18.010448,18.01033,18.010252,18.01044,18.010214,18.010445,18.010412,18.010462,18.01011,18.009817,11.489112
16.59274,18.010517,18.010588,18.010546,18.010525,18.010553,18.010506,18.010504,18.010427,18.010538,18.010464,18.010483,18.010525,18.010553,18.010515,18.010517,18.01046,18.010466,18.010532,18.010464,18.010345,18.010267,18.010454,18.010227,18.01046,18.010426,18.010475,18.010124,18.00983,11.489126
16.592752,18.010532,18.010546,18.010603,18.010538,18.010567,18.01052,18.010517,18.010443,18.010553,18.010477,18.010496,18.010538,18.010567,18.010529,18.010532,18.010473,18.01048,18.010546,18.010477,18.010359,18.01028,18.01047,18.01024,18.010473,18.01044,18.01049,18.01014,18.009846,11.4891405
16.592731,18.010511,18.010525,18.010538,18.01058,18.010546,18.0105,18.010496,18.010422,18.010532,18.010456,18.010475,18.010517,18.010546,18.010508,18.010511,18.010452,18.01046,18.010525,18.010456,18.010338,18.01026,18.010448,18.01022,18.010452,18.01042,18.01047,18.010118,18.009825,11.489126
16.59276,18.010538,18.010553,18.010567,18.010546,18.010609,18.010527,18.010525,18.010448,18.01056,18.010485,18.010504,18.010546,18.010574,18.010536,18.010538,18.01048,18.010487,18.010553,18.010485,18.010366,18.010288,18.010475,18.010248,18.01048,18.010448,18.010496,18.010145,18.009851,11.489147
16.592712,18.010492,18.010506,18.01052,18.0105,18.010527,18.010563,18.010479,18.010403,18.010513,18.010437,18.010458,18.0105,18.010527,18.01049,18.010492,18.010433,18.01044,18.010506,18.010437,18.010319,18.01024,18.01043,18.010202,18.010433,18.0104,18.01045,18.0101,18.009806,11.4891
16.59271,18.01049,18.010504,18.010517,18.010496,18.010525,18.010479,18.01056,18.0104,18.010511,18.010435,18.010454,18.010496,18.010525,18.010487,18.01049,18.010431,18.010437,18.010504,18.010435,18.010317,18.010239,18.010426,18.010199,18.010431,18.010399,18.010448,18.010096,18.009802,11.489098
16.592634,18.010414,18.010427,18.010443,18.010422,18.010448,18.010403,18.0104,18.010485,18.010435,18.010359,18.01038,18.010422,18.010448,18.010412,18.010414,18.010355,18.010363,18.010427,18.010359,18.01024,18.010162,18.010351,18.010124,18.010355,18.010323,18.010372,18.010021,18.009727,11.489022
16.592745,18.010525,18.010538,18.010553,18.010532,18.01056,18.010513,18.010511,18.010435,18.010595,18.01047,18.01049,18.010532,18.01056,18.010523,18.010525,18.010466,18.010473,18.010538,18.01047,18.010351,18.010273,18.010462,18.010235,18.010466,18.010433,18.010483,18.010132,18.009838,11.489133
16.59267,18.010448,18.010464,18.010477,18.010456,18.010485,18.010437,18.010435,18.010359,18.01047,18.010519,18.010414,18.010456,18.010485,18.010447,18.010448,18.010391,18.010397,18.010464,18.010395,18.010277,18.010199,18.010386,18.010159,18.010391,18.010359,18.010406,18.010056,18.009762,11.489058
16.59269,18.01047,18.010483,18.010496,18.010475,18.010504,18.010458,18.010454,18.01038,18.01049,18.010414,18.010538,18.010475,18.010504,18.010466,18.01047,18.01041,18.010416,18.010483,18.010414,18.010296,18.010218,18.010405,18.010178,18.01041,18.010378,18.010426,18.010075,18.00978,11.489077
16.592731,18.010511,18.010525,18.010538,18.010517,18.010546,18.0105,18.010496,18.010422,18.010532,18.010456,18.010475,18.01058,18.010546,18.010508,18.010511,18.010452,18.01046,18.010525,18.010456,18.010338,18.01026,18.010448,18.01022,18.010452,18.01042,18.01047,18.010118,18.009825,11.489119
16.59276,18.010538,18.010553,18.010567,18.010546,18.010574,18.010527,18.010525,18.010448,18.01056,18.010485,18.010504,18.010546,18.010609,18.010536,18.010538,18.01048,18.010487,18.010553,18.010485,18.010366,18.010288,18.010475,18.010248,18.01048,18.010448,18.010496,18.010145,18.009851,11.489147
16.592722,18.010502,18.010515,18.010529,18.010508,18.010536,18.01049,18.010487,18.010412,18.010523,18.010447,18.010466,18.010508,18.010536,18.01057,18.010502,18.010443,18.010448,18.010515,18.010447,18.010328,18.01025,18.010437,18.01021,18.010443,18.01041,18.01046,18.010107,18.009813,11.489109
16.592724,18.010504,18.010517,18.010532,18.010511,18.010538,18.010492,18.01049,18.010414,18.010525,18.010448,18.01047,18.010511,18.010538,18.010502,18.010574,18.010445,18.010452,18.010517,18.010448,18.01033,18.010252,18.01044,18.010214,18.010445,18.010412,18.010462,18.01011,18.009817,11.489112
16.592665,18.010445,18.01046,18.010473,18.010452,18.01048,18.010433,18.010431,18.010355,18.010466,18.010391,18.01041,18.010452,18.01048,18.010443,18.010445,18.010515,18.010393,18.01046,18.010391,18.010271,18.010195,18.010382,18.010155,18.010386,18.010353,18.010403,18.010052,18.009758,11.48906
16.592672,18.010452,18.010466,18.01048,18.01046,18.010487,18.01044,18.010437,18.010363,18.010473,18.010397,18.010416,18.01046,18.010487,18.010448,18.010452,18.010393,18.010523,18.010466,18.010397,18.010279,18.0102,18.01039,18.01016,18.010393,18.01036,18.01041,18.01006,18.009766,11.48906
16.59274,18.010517,18.010532,18.010546,18.010525,18.010553,18.010506,18.010504,18.010427,18.010538,18.010464,18.010483,18.010525,18.010553,18.010515,18.010517,18.01046,18.010466,18.010588,18.010464,18.010345,18.010267,18.010454,18.010227,18.01046,18.010426,18.010475,18.010124,18.00983,11.489126
16.59267,18.010448,18.010464,18.010477,18.010456,18.010485,18.010437,18.010435,18.010359,18.01047,18.010395,18.010414,18.010456,18.010485,18.010447,18.010448,18.010391,18.010397,18.010464,18.010519,18.010277,18.010199,18.010386,18.010159,18.010391,18.010359,18.010406,18.010056,18.009762,11.489058
16.59255,18.01033,18.010345,18.010359,18.010338,18.010366,18.010319,18.010317,18.01024,18.010351,18.010277,18.010296,18.010338,18.010366,18.010328,18.01033,18.010271,18.010279,18.010345,18.010277,18.0104,18.01008,18.010267,18.01004,18.010271,18.010239,18.010288,18.009937,18.009644,11.488938
